job_title,headcount,median_comp,mean_comp,min_comp,max_comp,total_payroll
FREEDOM OF INFORMATION ACT OFFICER,8,72462.0,75385.5,68616.0,85200.0,603084.0
INVESTIGATOR I - IG,6,72384.0,75358.0,72384.0,82884.0,452148.0
FIELD SUPVSR I - PARKING ENFORCEMENT,10,72036.0,74092.8,53820.0,93828.0,740928.0
COMMUNITY SERVICES REP - B OF E,3,71652.0,72248.0,71652.0,73440.0,216744.0
PROCESS SERVER,5,71436.0,71436.0,71436.0,71436.0,357180.0
COMMUNITY ORGANIZER-CAPS,26,70752.0,80077.38461538461,62544.0,112104.0,2082012.0
PROGRAM COORD,1,70752.0,70752.0,70752.0,70752.0,70752.0
COMMUNITY INTERVENTION SPECIALIST-SPANISH,1,70752.0,70752.0,70752.0,70752.0,70752.0
COMMUNICATIONS OPERATOR II - 311,5,70752.0,78439.2,61548.0,102144.0,392196.0
DATA ANALYST,1,70752.0,70752.0,70752.0,70752.0,70752.0
VICTIM SPECIALIST,50,70752.0,70937.28,68616.0,108576.0,3546864.0
DIGITAL ASSET COORDINATOR,1,70752.0,70752.0,70752.0,70752.0,70752.0
SUPERVISING WATCHMAN,4,70428.8,70428.8,70428.8,70428.8,281715.2
SUPERVISING WATCHMAN-WATER MANAGEMENT,2,70428.8,70428.8,70428.8,70428.8,140857.6
FLEET SERVICES ASST,80,69929.6,69929.6,69929.6,69929.6,5594368.0
DIGITAL RETRIVAL SPECIALIST - CPD,16,69684.0,72340.5,69684.0,80916.0,1157448.0
PHOTOGRAPHIC SPECIALIST-PUBLIC SAFETY,1,69684.0,69684.0,69684.0,69684.0,69684.0
BENEFITS SPECIALIST,1,69684.0,69684.0,69684.0,69684.0,69684.0
SHIFT SUPVSR OF AIRPORT GROUND TRANSPORTATION,3,69684.0,77900.0,69684.0,94332.0,233700.0
INVESTIGATOR-INTERNAL AFFAIRS,13,69684.0,70991.07692307692,63504.0,103488.0,922884.0
STAFF ASST TO THE ALDERMAN,132,69408.0,70763.27272727272,41256.0,132960.0,9340752.0
HELP DESK TECHNICIAN,2,69180.0,69180.0,67608.0,70752.0,138360.0
ASST SERGEANT AT ARMS,4,68964.0,73815.0,66840.0,90492.0,295260.0
